Date,Close,1 Month,3 Months,6 Months,12 Months
1/1/1941,10.07,-0.04940472,-0.095580975,-0.021611843,-0.179503953
2/1/1941,9.92,-0.015007785,-0.063466879,-0.056822336,-0.201128802
3/1/1941,9.96,0.00402415,-0.060388355,-0.067921347,-0.201218191
4/1/1941,9.31,-0.06748798,-0.078471615,-0.17405259,-0.269526852
5/1/1941,9.38,0.007490672,-0.055973158,-0.119440037,0.011796383
6/1/1941,9.85,0.048891692,-0.011105616,-0.071493971,-0.013111635
7/1/1941,10.39,0.05337235,0.109754714,0.031283098,0.009671255
8/1/1941,10.28,-0.010643545,0.091620497,0.035647339,-0.021174997
9/1/1941,10.2,-0.00781254,0.034916265,0.023810649,-0.044110698
10/1/1941,9.5,-0.071095922,-0.089552007,0.020202707,-0.153849883
11/1/1941,9.12,-0.040821995,-0.119730456,-0.028109959,-0.147549996
12/1/1941,8.69,-0.048296865,-0.160214781,-0.125298516,-0.196792487
1/1/1942,8.85,0.01824452,-0.07087434,-0.160426346,-0.129143248
2/1/1942,8.59,-0.029818723,-0.059871068,-0.179601524,-0.143954185
3/1/1942,8.01,-0.069907975,-0.081482178,-0.241696959,-0.217886311
4/1/1942,7.66,-0.044678777,-0.144405475,-0.215279815,-0.195077108
5/1/1942,8.15,0.062005944,-0.052580809,-0.112451877,-0.140561836
6/1/1942,8.3,0.018237588,0.035564754,-0.045917424,-0.17121594
7/1/1942,8.56,0.030844675,0.111088206,-0.033317269,-0.193743615
8/1/1942,8.62,0.006984895,0.056067157,0.003486349,-0.176115175
9/1/1942,8.85,0.026332374,0.064161944,0.099726698,-0.141970261
10/1/1942,9.36,0.056027831,0.0893451,0.200433307,-0.014846508
11/1/1942,9.29,-0.007506738,0.074853468,0.130920626,0.018468749
12/1/1942,9.77,0.050377913,0.098899007,0.163060951,0.117143527
1/1/1943,10.44,0.066328116,0.109199292,0.198544392,0.165227123
2/1/1943,10.97,0.049519692,0.166225721,0.24107919,0.244565538
3/1/1943,11.58,0.054115198,0.169963006,0.268862013,0.368588711
4/1/1943,11.59,0.000863185,0.104498075,0.213697367,0.414130674
5/1/1943,12.05,0.038922003,0.093900386,0.260126107,0.391046733
6/1/1943,12.35,0.024591403,0.064376591,0.234339597,0.397400548
7/1/1943,11.85,-0.041328195,0.02218521,0.126683285,0.325227677
8/1/1943,11.8,-0.004228336,-0.020965128,0.072935257,0.314014447
9/1/1943,12.08,0.023451661,-0.022104871,0.04227172,0.311133733
10/1/1943,11.91,-0.014172809,0.005050516,0.027235726,0.240933093
11/1/1943,11.02,-0.07766658,-0.068387728,-0.089352856,0.170773251
12/1/1943,11.67,0.057309643,-0.034529746,-0.056634617,0.17770498
1/1/1944,11.85,0.015306421,-0.005050516,0,0.126683285
2/1/1944,11.82,-0.002534856,0.070081208,0.001693481,0.074628738
3/1/1944,12.02,0.016778917,0.029550483,-0.004979263,0.037292457
4/1/1944,11.87,-0.01255772,0.001686341,-0.003364175,0.023871551
5/1/1944,12.35,0.039641854,0.043863051,0.113944259,0.024591403
6/1/1944,12.98,0.049753648,0.076837782,0.106388265,0.049753648
7/1/1944,12.71,-0.021020626,0.068374877,0.070061218,0.070061218
8/1/1944,12.82,0.008617366,0.037350388,0.08121344,0.08290692
9/1/1944,12.74,-0.006259801,-0.018663061,0.058174721,0.053195458
10/1/1944,12.78,0.003134799,0.005492364,0.07386724,0.070503066
11/1/1944,12.83,0.00390473,0.000779727,0.038130116,0.152074375
12/1/1944,13.28,0.034472965,0.041512494,0.022849433,0.129237698
1/1/1945,13.47,0.014205846,0.052583541,0.058075905,0.128137123
2/1/1945,14.3,0.059794547,0.108473359,0.109253086,0.190466525
3/1/1945,13.61,-0.049454721,0.024545673,0.066058167,0.124232888
4/1/1945,14.84,0.086521421,0.096861247,0.149444789,0.223312029
5/1/1945,15.01,0.011390408,0.048457108,0.156930467,0.195060583
6/1/1945,14.87,-0.009370885,0.088540944,0.113086616,0.135936049
7/1/1945,14.66,-0.014223064,-0.012203541,0.084657706,0.142733611
8/1/1945,15.51,0.056362281,0.032768332,0.08122544,0.190478526
9/1/1945,16.049999,0.03422381,0.076363027,0.164903971,0.230962137
10/1/1945,16.65,0.036701429,0.12728752,0.115083979,0.264528767
11/1/1945,17.190001,0.031917661,0.1028429,0.135611232,0.292541699
12/1/1945,17.360001,0.009840889,0.07845998,0.154823006,0.267909623
1/1/1946,18.57,0.067378609,0.109137159,0.236424679,0.321082385
2/1/1946,17.280001,-0.071997554,0.005221944,0.108064844,0.189290284
3/1/1946,18.040001,0.043041749,0.038422803,0.116882783,0.281786753
4/1/1946,18.76,0.039135374,0.010179568,0.119316727,0.234400706
5/1/1946,19.18,0.022141126,0.104318248,0.109540192,0.245151424
6/1/1946,18.43,-0.039888298,0.021388202,0.059811005,0.214634011
7/1/1946,17.959999,-0.025832764,-0.043579936,-0.033400368,0.203024311
8/1/1946,16.65,-0.075736791,-0.141457853,-0.037139605,0.070925239
9/1/1946,14.96,-0.107030244,-0.208599799,-0.187211598,-0.070328815
10/1/1946,14.84,-0.008053735,-0.190820769,-0.234400706,-0.115083979
11/1/1946,14.68,-0.010840215,-0.125924193,-0.267382046,-0.157841854
12/1/1946,15.3,0.041366805,0.022472856,-0.186126943,-0.126315938
1/1/1947,15.66,0.023256862,0.053783453,-0.137037317,-0.170437685
2/1/1947,15.43,-0.014796024,0.049827643,-0.07609655,-0.113236155
3/1/1947,15.17,-0.016993873,-0.008533035,0.013939821,-0.173271777
4/1/1947,14.58,-0.039669067,-0.071458964,-0.017675511,-0.252076217
5/1/1947,14.45,-0.008956312,-0.065619252,-0.015791609,-0.283173655
6/1/1947,15.21,0.051258692,0.002633313,-0.005899722,-0.192026665
7/1/1947,15.76,0.035521978,0.077824358,0.006365394,-0.130671923
8/1/1947,15.32,-0.02831592,0.05846475,-0.007154502,-0.083251052
9/1/1947,15.11,-0.013802388,-0.00659633,-0.003963017,0.009976804
10/1/1947,15.43,0.02095689,-0.021161418,0.05666294,0.038987429
11/1/1947,14.98,-0.029597688,-0.022443186,0.036021564,0.020229955
12/1/1947,15.3,0.02113685,0.012496052,0.005899722,0
1/1/1948,14.68,-0.041366805,-0.049827643,-0.070989061,-0.064623667
2/1/1948,13.93,-0.052441235,-0.07267119,-0.095114377,-0.102268879
3/1/1948,15.08,0.079324575,-0.014483466,-0.001987414,-0.005950431
4/1/1948,15.48,0.026179506,0.053062845,0.003235202,0.059898142
5/1/1948,16.690001,0.075260929,0.18076501,0.10809382,0.144115383
6/1/1948,16.74,0.002991267,0.104431702,0.089948237,0.095847959
7/1/1948,15.85,-0.054631565,0.023620632,0.076683477,0.005694416
8/1/1948,15.97,0.007542462,-0.044097835,0.136667174,0.041552798
9/1/1948,15.49,-0.030517308,-0.077606411,0.026825292,0.024837878
10/1/1948,16.5,0.063165726,0.040190881,0.063811513,0.067046715
11/1/1948,14.75,-0.112117298,-0.079468879,-0.123566715,-0.015472895
12/1/1948,15.2,0.030052345,-0.018899227,-0.096505637,-0.006557401
1/1/1949,15.22,0.001314925,-0.080750028,-0.040559148,0.036124329
2/1/1949,14.62,-0.040219898,-0.008852628,-0.088321508,0.048345667
3/1/1949,15.06,0.029651768,-0.009253205,-0.028152432,-0.00132714
4/1/1949,14.71,-0.023514688,-0.034082818,-0.114832846,-0.051021334
5/1/1949,14.19,-0.035990043,-0.029852963,-0.038705592,-0.162272306
6/1/1949,14.16,-0.002116403,-0.061621134,-0.07087434,-0.167379977
7/1/1949,15.04,0.06029223,0.022185784,-0.011897034,-0.052456182
8/1/1949,15.22,0.011897034,0.070072861,0.040219898,-0.04810161
9/1/1949,15.58,0.023377688,0.095566952,0.033945818,0.005793386
10/1/1949,16.040001,0.029097624,0.064372346,0.08655813,-0.028274716
